"B01001_001E","B01001_001M","B01001_002E","B01001_002M","B01001_003E","B01001_003M","B01001_004E","B01001_004M","B01001_005E","B01001_005M","B01001_006E","B01001_006M","B01001_007E","B01001_007M","B01001_008E","B01001_008M","B01001_009E","B01001_009M","B01001_010E","B01001_010M","B01001_011E","B01001_011M","B01001_012E","B01001_012M","B01001_013E","B01001_013M","B01001_014E","B01001_014M","B01001_015E","B01001_015M","B01001_016E","B01001_016M","B01001_017E","B01001_017M","B01001_018E","B01001_018M","B01001_019E","B01001_019M","B01001_020E","B01001_020M","B01001_021E","B01001_021M","B01001_022E","B01001_022M","B01001_023E","B01001_023M","B01001_024E","B01001_024M","B01001_025E","B01001_025M","B01001_026E","B01001_026M","B01001_027E","B01001_027M","B01001_028E","B01001_028M","B01001_029E","B01001_029M","B01001_030E","B01001_030M","B01001_031E","B01001_031M","B01001_032E","B01001_032M","B01001_033E","B01001_033M","B01001_034E","B01001_034M","B01001_035E","B01001_035M","B01001_036E","B01001_036M","B01001_037E","B01001_037M","B01001_038E","B01001_038M","B01001_039E","B01001_039M","B01001_040E","B01001_040M","B01001_041E","B01001_041M","B01001_042E","B01001_042M","B01001_043E","B01001_043M","B01001_044E","B01001_044M","B01001_045E","B01001_045M","B01001_046E","B01001_046M","B01001_047E","B01001_047M","B01001_048E","B01001_048M","B01001_049E","B01001_049M","GEO_ID","NAME"
"2046","742","875","284","55","47","50","38","14","24","20","24","14","23","13","20","0","12","49","53","71","54","78","48","84","89","88","63","14","21","54","61","28","32","7","10","71","50","61","60","0","12","31","37","0","12","9","13","64","58","1171","515","182","234","98","80","8","13","0","12","11","18","0","12","22","25","21","33","77","65","76","63","99","66","22","27","72","78","15","23","57","57","82","63","60","51","0","12","41","44","12","20","9","14","34","54","173","193","1500000US150030088022","Block Group 2, Census Tract 88.02, Honolulu County, Hawaii"
"1576","543","635","291","0","12","0","12","27","24","36","41","33","42","0","12","0","12","19","23","23","35","0","12","32","30","64","46","63","49","53","57","96","75","29","43","7","18","26","31","30","26","15","17","33","49","0","12","49","51","941","306","4","6","47","64","56","50","80","83","13","15","8","13","8","13","0","12","79","58","11","27","19","30","70","57","59","53","86","59","36","46","29","43","13","15","47","51","19","28","27","43","82","63","41","45","107","54","1500000US150030088023","Block Group 3, Census Tract 88.02, Honolulu County, Hawaii"
"1012","359","489","195","22","24","0","12","5","9","10","15","9","15","0","12","0","12","9","16","37","36","20","29","11","17","9","15","57","75","37","28","11","16","11","17","102","89","12","18","0","12","25","24","20","19","0","12","82","112","523","182","15","18","29","33","20","30","21","23","0","12","0","12","0","12","0","12","23","27","4","6","29","27","21","23","24","37","76","68","19","21","27","24","22","20","0","12","11","17","35","25","21","24","45","59","81","125","1500000US150030089061","Block Group 1, Census Tract 89.06, Honolulu County, Hawaii"
"1281","207","627","113","17","18","8","10","29","26","16","18","8","13","0","12","0","12","12","18","37","31","40","41","90","61","128","65","17","18","35","26","0","12","10","15","3","5","17","20","0","12","72","43","32","24","45","58","11","18","654","155","45","47","13","21","46","33","11","14","0","12","28","28","0","12","0","12","50","40","45","34","52","38","28","24","130","58","0","12","22","22","21","23","10","15","18","23","50","29","70","33","4","6","11","18","0","12","1500000US150030089062","Block Group 2, Census Tract 89.06, Honolulu County, Hawaii"
"1264","358","639","182","17","22","18","20","72","52","60","83","0","12","0","12","0","12","0","12","10","15","61","53","0","12","65","48","29","26","39","30","27","24","9","13","16","18","10","17","29","46","81","50","50","40","36","24","10","15","625","202","30","46","63","86","74","89","15","17","18","21","0","12","0","12","0","12","13","14","27","43","20","23","64","45","0","12","15","17","26","23","0","12","25","23","29","22","27","24","80","56","69","40","20","17","10","15","1500000US150030089063","Block Group 3, Census Tract 89.06, Honolulu County, Hawaii"
"1013","217","544","135","36","26","8","12","0","12","0","12","12","18","0","12","14","22","0","12","67","68","27","25","10","16","70","39","23","25","25","24","10","15","0","12","41","42","0","12","49","29","107","107","28","17","8","14","9","13","469","125","25","21","19","21","59","79","8","13","0","12","0","12","10","16","0","12","32","29","8","13","37","31","8","13","42","39","17","14","0","12","17","18","41","43","50","45","18","22","58","29","11","17","9","13","0","12","1500000US150030089091","Block Group 1, Census Tract 89.09, Honolulu County, Hawaii"
"1531","343","846","210","21","23","20","22","27","24","43","35","30","27","0","12","10","16","11","17","150","110","36","43","26","29","56","35","58","47","86","63","52","32","7","12","47","45","7","11","60","33","55","60","32","27","12","17","0","12","685","175","52","41","37","46","25","23","9","13","7","12","20","33","0","12","8","11","17","19","33","42","50","54","37","30","56","40","99","62","38","26","50","78","9","14","27","24","11","18","69","48","17","20","0","12","14","21","1500000US150030089092","Block Group 2, Census Tract 89.09, Honolulu County, Hawaii"
"1335","351","684","209","31","36","18","14","43","41","8","14","0","12","0","12","0","12","0","12","143","112","72","69","58","35","38","33","24","39","41","41","42","42","20","32","8","12","17","19","40","39","14","16","31","29","28","27","8","14","651","171","50","33","0","12","45","37","42","61","0","12","0","12","0","12","0","12","10","17","50","32","29","25","91","63","0","12","11","17","16","17","22","35","30","34","8","12","74","40","83","98","9","14","29","21","52","53","1500000US150030089093","Block Group 3, Census Tract 89.09, Honolulu County, Hawaii"
"1490","393","682","175","42","35","55","34","35","23","20","22","14","22","6","7","16","19","4","6","16","25","41","49","14","22","42","25","30","25","61","41","90","73","7","17","10","12","0","12","60","61","17","18","48","35","45","39","9","20","808","244","49","47","45","35","42","34","61","41","6","8","7","11","0","12","5","7","48","53","41","41","29","29","72","49","45","36","13","12","73","55","3","4","19","26","0","12","36","40","59","35","78","46","8","10","69","80","1500000US150030089121","Block Group 1, Census Tract 89.12, Honolulu County, Hawaii"
"1428","418","628","178","0","12","22","17","38","25","24","23","7","10","0","12","36","51","16","19","10","11","29","22","31","19","91","79","57","40","35","26","29","26","18","28","8","9","22","22","70","56","10","16","28","35","16","18","31","31","800","258","22","18","22","18","19","19","15","26","33","35","5","7","9","10","41","31","31","30","88","66","28","21","49","29","54","37","21","35","37","25","0","12","50","80","8","8","54","65","46","44","75","44","18","32","75","65","1500000US150030089122","Block Group 2, Census Tract 89.12, Honolulu County, Hawaii"
"1574","539","810","288","8","12","49","38","16","26","38","38","14","15","15","14","0","12","23","21","109","91","16","17","47","41","22","17","52","43","91","58","79","52","6","9","20","17","7","11","38","34","53","36","20","18","46","36","41","25","764","277","50","65","42","36","15","21","55","64","26","26","7","11","0","12","45","41","51","38","48","42","8","12","45","52","93","51","56","42","29","20","13","15","17","15","25","29","11","13","41","37","36","26","40","38","11","12","1500000US150030089131","Block Group 1, Census Tract 89.13, Honolulu County, Hawaii"
"1149","335","528","154","27","20","56","44","46","59","41","27","5","9","16","26","0","12","0","12","35","21","24","17","18","16","43","41","59","40","16","16","26","23","17","15","15","17","0","12","24","18","1","2","24","27","29","29","6","11","621","205","3","8","11","12","40","33","0","12","17","27","0","12","43","44","22","31","24","23","24","17","37","26","37","40","50","38","0","12","24","18","14","17","56","58","0","12","22","17","14","13","15","16","60","48","108","78","1500000US150030089132","Block Group 2, Census Tract 89.13, Honolulu County, Hawaii"
"1357","457","615","244","72","53","42","45","34","26","22","26","0","12","0","12","0","12","31","29","76","54","58","49","33","34","7","10","16","25","42","32","37","42","28","34","11","13","0","12","20","17","10","13","20","15","28","22","28","21","742","256","17","20","26","25","36","34","15","15","21","25","6","10","0","12","52","63","88","61","22","20","21","25","12","15","57","42","42","36","32","23","20","33","12","14","23","23","22","19","68","55","7","10","65","32","78","48","1500000US150030089133","Block Group 3, Census Tract 89.13, Honolulu County, Hawaii"
"762","278","391","143","0","12","0","12","45","51","0","12","6","12","0","12","0","12","0","12","30","35","11","18","0","12","28","25","23","37","65","60","24","21","0","12","16","18","26","19","44","30","27","20","18","20","28","45","0","12","371","188","0","12","29","46","29","46","0","12","22","35","0","12","0","12","8","13","0","12","12","17","23","36","47","62","33","48","8","12","16","18","0","12","0","12","26","18","41","29","58","49","19","21","0","12","0","12","1500000US150030089171","Block Group 1, Census Tract 89.17, Honolulu County, Hawaii"
"740","164","348","72","21","24","0","12","10","16","0","12","9","15","0","12","9","14","19","20","22","34","43","33","11","17","8","14","17","21","26","24","53","37","8","13","17","17","36","26","22","22","8","14","9","14","0","12","0","12","392","109","34","32","0","12","37","35","11","19","0","12","0","12","0","12","9","16","38","35","55","37","12","20","0","12","29","27","34","23","60","47","8","13","17","18","17","19","0","12","20","23","11","17","0","12","0","12","1500000US150030089172","Block Group 2, Census Tract 89.17, Honolulu County, Hawaii"
"1402","301","837","216","34","38","35","40","29","27","26","24","73","86","43","58","28","25","18","20","88","71","53","44","22","23","76","49","41","40","31","36","49","32","21","19","25","23","8","14","53","59","65","65","8","13","11","16","0","12","565","141","0","12","28","21","9","15","18","14","31","29","0","12","0","12","42","28","37","37","11","17","31","29","57","36","30","36","39","41","57","34","25","22","57","37","41","47","17","18","8","13","16","25","11","17","0","12","1500000US150030089173","Block Group 3, Census Tract 89.17, Honolulu County, Hawaii"
"753","273","323","134","45","58","21","25","13","20","0","12","0","12","0","12","0","12","8","12","30","37","23","26","33","37","18","29","7","12","16","26","8","13","15","18","0","12","0","12","61","87","8","13","9","14","8","14","0","12","430","184","0","12","32","51","42","38","9","14","25","38","0","12","0","12","9","14","32","28","35","55","8","13","23","26","0","12","16","18","98","95","0","12","9","13","59","80","9","14","16","19","0","12","8","14","0","12","1500000US150030089174","Block Group 4, Census Tract 89.17, Honolulu County, Hawaii"
"1187","289","593","144","55","44","67","60","0","12","0","12","0","12","0","12","10","15","44","51","61","40","57","47","0","12","37","47","0","12","54","43","49","41","8","13","74","40","0","12","40","25","10","15","0","12","9","14","18","22","594","175","80","75","88","91","9","14","17","19","24","28","0","12","10","16","40","46","71","56","9","15","9","13","33","41","0","12","9","16","73","46","0","12","18","17","25","23","18","21","11","13","27","19","12","18","11","17","1500000US150030089175","Block Group 5, Census Tract 89.17, Honolulu County, Hawaii"
"1131","705","718","520","260","330","19","21","0","12","0","12","0","12","38","49","0","12","25","23","63","37","0","12","145","193","5","8","0","12","17","19","69","48","32","26","0","12","0","12","28","19","8","12","0","12","0","12","9","14","413","199","0","12","0","12","25","24","9","14","0","12","0","12","0","12","29","23","36","47","0","12","149","184","18","19","18","14","7","10","71","46","8","12","10","16","0","12","8","13","0","12","0","12","0","12","25","29","1500000US150030089181","Block Group 1, Census Tract 89.18, Honolulu County, Hawaii"
"1374","293","701","166","10","15","51","50","17","19","39","26","0","12","0","12","0","12","26","32","27","24","113","86","21","22","9","14","48","30","34","26","66","49","47","30","49","25","22","26","40","36","42","30","12","15","9","14","19","20","673","163","7","12","0","12","64","55","8","13","0","12","0","12","9","13","44","34","47","49","74","41","39","42","8","13","31","22","58","43","53","31","15","16","6","10","84","62","35","26","24","23","14","17","42","42","11","17","1500000US150030089182","Block Group 2, Census Tract 89.18, Honolulu County, Hawaii"
"1041","289","520","166","43","51","0","12","41","42","8","12","0","12","26","41","0","12","9","13","53","52","31","27","48","52","37","25","48","41","52","50","45","44","0","12","8","13","9","14","12","14","9","13","32","40","9","14","0","12","521","148","51","53","35","28","25","23","9","14","0","12","0","12","12","18","23","38","34","30","33","40","9","13","87","53","0","12","6","10","63","50","21","35","14","15","14","23","9","13","34","26","32","24","10","14","0","12","1500000US150030089183","Block Group 3, Census Tract 89.18, Honolulu County, Hawaii"
"974","237","503","139","11","17","42","48","58","51","25","23","0","12","0","12","0","12","27","20","83","54","63","70","35","30","17","19","16","18","16","18","51","47","0","12","21","27","22","34","16","18","0","12","0","12","0","12","0","12","471","121","0","12","25","40","18","20","8","13","8","13","0","12","13","21","17","19","69","66","27","25","19","20","34","27","40","39","8","13","51","31","31","37","16","17","0","12","11","13","58","50","0","12","9","14","9","14","1500000US150030089184","Block Group 4, Census Tract 89.18, Honolulu County, Hawaii"
"950","486","527","378","0","12","119","134","46","47","39","58","0","12","0","12","0","12","12","19","43","34","19","21","0","12","61","66","31","24","7","11","52","45","0","12","30","44","8","13","0","12","51","45","9","13","0","12","0","12","423","142","8","12","20","22","53","59","20","23","0","12","0","12","19","29","20","21","0","12","9","14","32","33","8","13","33","26","0","12","58","43","0","12","41","52","8","12","62","48","8","13","15","16","0","12","9","13","1500000US150030089185","Block Group 5, Census Tract 89.18, Honolulu County, Hawaii"
"1328","456","647","200","24","20","37","29","4","8","16","16","22","16","0","12","20","14","5","9","89","102","39","26","72","43","54","31","38","28","77","70","13","15","17","12","9","10","4","7","34","26","24","21","15","14","22","17","12","16","681","270","18","16","37","28","50","49","26","18","27","25","41","46","4","6","17","20","13","14","13","14","21","17","50","35","66","41","19","14","49","42","0","12","36","31","17","16","10","11","82","92","33","22","6","8","46","34","1500000US150030089211","Block Group 1, Census Tract 89.21, Honolulu County, Hawaii"
"1192","247","518","158","28","30","5","8","26","28","46","44","0","12","14","22","0","12","15","16","7","11","54","42","45","38","48","38","28","23","23","22","14","13","36","28","18","17","21","6","11","12","17","14","18","28","21","31","23","29","674","147","44","35","19","21","55","27","0","12","9","11","0","12","22","27","33","35","11","17","31","25","86","57","42","36","35","40","43","27","56","32","0","12","18","14","4","7","32","33","29","23","40","40","23","24","42","34","1500000US150030089212","Block Group 2, Census Tract 89.21, Honolulu County, Hawaii"
"1736","232","831","141","78","43","15","18","11","12","14","16","16","19","0","12","4","6","132","93","142","66","90","42","48","25","85","62","55","25","37","28","32","17","0","12","25","28","5","8","5","7","20","12","0","12","17","26","0","12","905","150","135","68","78","50","39","21","8","8","0","12","0","12","0","12","52","31","119","54","126","65","55","27","60","36","61","46","43","23","52","34","3","5","16","16","14","13","4","7","17","9","6","10","17","27","0","12","1500000US150030089261","Block Group 1, Census Tract 89.26, Honolulu County, Hawaii"
"1785","294","912","152","37","29","60","39","87","48","45","34","20","28","0","12","9","15","27","28","77","33","95","40","42","31","64","52","71","41","132","58","65","48","12","16","0","12","0","12","45","14","15","17","9","14","0","12","0","12","873","190","125","128","89","46","67","51","55","38","24","29","16","19","0","12","0","12","32","27","45","34","42","30","132","67","77","44","16","18","51","30","0","12","0","12","45","13","0","12","16","19","6","9","35","42","0","12","1500000US150030089281","Block Group 1, Census Tract 89.28, Honolulu County, Hawaii"
"1611","307","807","191","0","12","92","54","95","54","63","33","17","21","0","12","5","11","14","16","18","20","11","19","66","80","55","32","95","45","134","61","68","48","8","12","21","20","10","14","0","12","17","19","8","12","10","15","0","12","804","164","15","17","100","65","94","57","26","20","8","13","24","23","0","12","0","12","9","14","19","21","62","64","128","55","91","46","55","31","92","55","17","19","0","12","0","12","0","12","21","20","9","13","0","12","34","52","1500000US150030089282","Block Group 2, Census Tract 89.28, Honolulu County, Hawaii"
"660","276","316","144","21","32","18","27","32","51","0","12","0","12","0","12","0","12","45","73","18","28","51","47","0","12","32","35","0","12","0","12","0","12","70","110","14","23","0","12","15","24","0","12","0","12","0","12","0","12","344","153","18","28","0","12","28","32","0","12","0","12","0","12","0","12","0","12","28","43","19","31","15","24","27","30","0","12","0","12","107","145","19","27","14","23","0","12","69","72","0","12","0","12","0","12","0","12","1500000US150030089291","Block Group 1, Census Tract 89.29, Honolulu County, Hawaii"
"1111","201","556","133","33","37","30","35","25","30","16","24","9","14","2","6","0","12","47","42","60","48","0","12","0","12","17","28","0","12","80","45","29","30","15","24","0","12","0","12","5","9","49","38","14","21","37","42","88","62","555","131","18","29","0","12","0","12","9","13","14","23","0","12","0","12","0","12","59","59","0","12","0","12","20","31","38","36","40","36","30","30","15","25","17","19","3","9","51","39","30","33","42","40","53","50","116","96","1500000US150030089292","Block Group 2, Census Tract 89.29, Honolulu County, Hawaii"
"981","268","507","163","26","41","34","27","17","27","0","12","17","26","16","26","42","34","33","36","31","50","66","55","16","26","27","24","46","65","30","24","23","27","27","27","0","12","0","12","0","12","16","25","28","31","0","12","12","19","474","158","18","29","65","63","12","20","35","32","25","32","0","12","0","12","0","12","40","45","38","38","51","40","32","36","0","12","29","33","66","48","8","12","11","17","0","12","0","12","18","29","26","29","0","12","0","12","1500000US150030089293","Block Group 3, Census Tract 89.29, Honolulu County, Hawaii"
"604","292","289","146","0","12","7","15","22","33","0","12","7","13","0","12","36","50","67","71","37","58","20","32","0","12","35","48","0","12","0","12","18","22","0","12","10","15","15","24","15","24","0","12","0","12","0","12","0","12","315","185","0","12","0","12","72","99","0","12","0","12","0","12","5","14","0","12","63","103","0","12","6","12","35","48","15","24","29","30","24","27","0","12","51","73","15","24","0","12","0","12","0","12","0","12","0","12","1500000US150030089294","Block Group 4, Census Tract 89.29, Honolulu County, Hawaii"
"1336","490","718","226","0","12","42","47","0","12","0","12","11","19","0","12","0","12","0","12","231","210","79","92","0","12","44","52","65","78","125","93","24","29","0","12","66","65","0","12","16","25","15","25","0","12","0","12","0","12","618","348","0","12","19","30","0","12","13","19","0","12","0","12","0","12","277","292","17","28","38","41","0","12","20","32","0","12","65","67","74","71","0","12","44","40","0","12","40","64","11","18","0","12","0","12","0","12","1500000US150030089295","Block Group 5, Census Tract 89.29, Honolulu County, Hawaii"
"917","173","442","98","16","25","17","14","36","47","4","7","9","14","10","12","5","7","27","27","18","15","45","38","10","11","0","12","22","18","23","19","100","47","11","18","29","18","10","11","13","14","24","15","13","13","0","12","0","12","475","92","17","18","24","21","37","31","10","18","0","12","7","10","0","12","30","26","28","29","29","25","13","20","12","13","15","15","35","21","108","35","18","13","18","14","23","15","15","14","15","13","4","6","10","11","7","11","1500000US150030089301","Block Group 1, Census Tract 89.30, Honolulu County, Hawaii"
"1210","192","645","139","52","60","13","15","6","9","23","15","0","12","20","17","13","10","22","22","34","30","29","32","49","34","29","23","21","14","27","19","86","33","31","19","41","33","15","11","40","26","53","38","29","18","5","8","7","11","565","91","13","20","5","7","5","7","10","11","5","2","0","12","15","11","41","34","27","22","17","16","44","31","22","15","33","24","73","39","98","63","32","19","4","7","14","13","51","27","24","17","9","10","10","10","13","16","1500000US150030089302","Block Group 2, Census Tract 89.30, Honolulu County, Hawaii"
"417","112","417","112","0","12","0","12","0","12","0","12","11","25","0","12","0","12","0","12","57","52","81","49","99","63","62","42","10","12","45","41","12","28","27","37","12","28","1","2","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US150030089311","Block Group 1, Census Tract 89.31, Honolulu County, Hawaii"
"1472","269","740","139","58","37","45","27","106","43","65","42","32","27","16","14","12","12","0","12","6","9","18","15","39","19","27","18","75","29","89","40","54","27","23","15","26","23","11","12","0","12","6","9","11","11","21","22","0","12","732","167","43","21","62","34","75","32","39","18","35","33","0","12","6","9","12","12","13","14","31","21","42","18","53","32","101","39","62","30","109","61","0","12","5","7","14","13","0","12","5","7","0","12","25","43","0","12","1500000US150030089312","Block Group 2, Census Tract 89.31, Honolulu County, Hawaii"
"1627","245","832","135","41","31","24","20","201","88","44","28","11","12","0","12","5","8","25","19","92","69","6","10","38","18","34","26","102","44","86","37","39","24","4","7","14","20","0","12","30","21","14","20","0","12","5","7","17","27","795","165","28","29","103","52","102","64","51","29","46","47","0","12","6","9","26","19","28","18","17","15","29","25","85","45","91","41","75","35","38","28","9","10","9","10","5","7","5","8","10","11","25","21","0","12","7","10","1500000US150030089313","Block Group 3, Census Tract 89.31, Honolulu County, Hawaii"
"303","124","162","68","0","12","0","12","9","13","0","12","0","12","0","12","0","12","0","12","0","12","16","24","0","12","0","12","25","21","9","14","0","12","23","36","13","20","0","12","8","13","26","22","33","39","0","12","0","12","141","67","0","12","0","12","0","12","16","26","0","12","0","12","0","12","0","12","0","12","11","16","0","12","0","12","17","19","8","12","0","12","0","12","14","15","0","12","8","12","26","22","41","41","0","12","0","12","1500000US150030089321","Block Group 1, Census Tract 89.32, Honolulu County, Hawaii"
"1758","307","866","193","20","23","32","40","109","66","64","49","41","41","11","17","0","12","32","38","29","28","66","59","79","50","8","13","16","18","16","17","62","39","9","15","55","32","33","26","55","33","82","47","28","24","19","21","0","12","892","157","46","44","37","45","42","44","8","12","26","24","0","12","10","15","8","15","22","24","50","46","57","34","25","23","39","36","93","56","37","30","48","38","62","29","22","18","81","49","96","50","45","43","11","15","27","24","1500000US150030089322","Block Group 2, Census Tract 89.32, Honolulu County, Hawaii"
"2216","678","1133","419","71","51","72","49","63","45","18","19","0","12","0","12","11","18","27","24","155","200","88","61","65","39","71","46","52","34","44","41","35","43","8","12","30","21","8","13","62","36","206","190","9","14","33","33","5","9","1083","312","9","14","121","63","68","79","74","58","0","12","36","45","9","15","22","24","0","12","63","54","95","64","64","38","88","76","120","178","8","13","17","17","61","37","8","13","87","48","43","30","58","44","0","12","32","34","1500000US150030089331","Block Group 1, Census Tract 89.33, Honolulu County, Hawaii"
"1392","376","670","173","11","16","18","20","100","87","42","40","0","12","0","12","0","12","29","26","52","49","22","27","50","50","62","42","8","12","22","25","15","18","8","12","12","15","31","37","34","27","94","47","42","36","9","14","9","15","722","276","38","44","18","19","85","85","37","43","0","12","0","12","10","16","10","15","22","24","46","44","50","51","113","146","17","18","20","22","15","18","8","12","40","41","22","35","77","39","33","26","32","29","0","12","29","27","1500000US150030089332","Block Group 2, Census Tract 89.33, Honolulu County, Hawaii"
"1161","341","598","236","0","12","22","35","79","78","40","67","52","65","0","12","46","62","10","17","18","29","80","80","0","12","16","26","128","88","39","37","12","20","0","12","0","12","0","12","0","12","13","21","43","70","0","12","0","12","563","191","52","80","42","71","45","70","0","12","0","12","0","12","0","12","23","29","70","80","49","41","35","53","0","12","97","98","26","31","48","52","13","20","13","22","0","12","0","12","50","68","0","12","0","12","0","12","1500000US150030089341","Block Group 1, Census Tract 89.34, Honolulu County, Hawaii"
"1715","536","873","295","61","62","18","29","87","68","12","21","0","12","0","12","0","12","42","65","15","24","102","77","58","68","39","38","87","50","16","26","193","102","34","51","12","20","13","20","8","13","69","110","7","13","0","12","0","12","842","271","14","23","29","33","92","80","62","64","0","12","0","12","0","12","65","58","126","163","31","37","26","30","62","59","79","62","80","54","110","79","24","20","14","23","14","23","0","12","14","19","0","12","0","12","0","12","1500000US150030089342","Block Group 2, Census Tract 89.34, Honolulu County, Hawaii"
"792","259","404","188","0","12","65","47","54","57","13","21","0","12","0","12","0","12","29","32","31","36","14","23","0","12","39","62","0","12","64","40","11","18","9","13","42","68","0","12","15","24","0","12","18","28","0","12","0","12","388","164","15","25","0","12","62","48","0","12","0","12","0","12","0","12","13","21","0","12","0","12","51","62","39","62","13","20","84","68","0","12","12","19","0","12","0","12","58","72","41","64","0","12","0","12","0","12","1500000US150030089343","Block Group 3, Census Tract 89.34, Honolulu County, Hawaii"
"1338","342","648","181","16","3","30","35","16","19","30","21","21","36","37","60","8","12","17","15","44","45","73","62","46","32","26","13","79","90","35","28","107","58","7","12","15","16","41","41","0","12","0","12","0","12","0","12","0","12","690","178","43","41","35","41","44","38","24","37","30","47","0","12","9","15","15","18","9","16","42","26","50","16","35","21","74","62","67","48","44","29","37","44","16","17","53","46","18","15","1","2","10","16","24","38","10","16","1500000US150030089351","Block Group 1, Census Tract 89.35, Honolulu County, Hawaii"
"2443","542","1275","363","109","76","42","45","65","47","47","48","23","21","11","18","0","12","26","30","164","79","186","214","84","51","67","36","64","39","61","72","17","19","7","11","95","87","46","43","102","157","42","43","10","15","0","12","7","11","1168","302","37","37","92","65","34","39","16","26","93","136","16","17","0","12","118","93","137","77","58","40","106","64","98","69","38","25","14","16","145","97","17","18","36","38","10","15","51","38","24","22","28","40","0","12","0","12","1500000US150030089352","Block Group 2, Census Tract 89.35, Honolulu County, Hawaii"
"1622","418","789","216","35","33","95","69","95","85","0","12","0","12","0","12","22","27","25","29","72","70","57","64","38","28","55","51","17","21","35","56","53","38","19","23","8","13","38","33","7","12","60","40","0","12","46","46","12","20","833","230","60","67","107","112","30","28","16","17","7","13","10","16","0","12","36","44","104","72","56","43","23","22","50","36","24","23","46","33","16","18","19","23","41","34","20","24","11","18","89","55","39","40","29","22","0","12","1500000US150030089361","Block Group 1, Census Tract 89.36, Honolulu County, Hawaii"
"1426","452","678","256","0","12","16","17","37","45","39","39","29","34","0","12","0","12","38","34","11","17","49","50","40","49","106","101","50","52","38","38","55","30","47","47","8","13","13","20","23","37","19","16","43","45","8","12","9","14","748","233","82","62","27","41","27","25","56","53","0","12","0","12","24","37","18","20","29","46","27","25","28","44","56","46","56","54","26","29","55","34","29","40","24","36","52","57","16","17","83","112","16","26","8","13","9","14","1500000US150030089362","Block Group 2, Census Tract 89.36, Honolulu County, Hawaii"
"2323","674","972","296","42","40","81","56","56","49","43","42","47","44","11","18","8","12","30","32","57","44","167","189","58","48","99","58","47","40","78","45","43","34","0","12","31","27","16","25","0","12","41","41","8","12","9","14","0","12","1351","420","45","27","95","75","97","60","48","39","45","37","0","12","9","14","50","46","162","133","131","146","90","56","84","46","156","133","66","51","93","46","7","12","54","41","7","11","7","12","29","36","38","36","38","47","0","12","1500000US150030089371","Block Group 1, Census Tract 89.37, Honolulu County, Hawaii"
"1439","411","635","188","97","74","75","59","74","41","56","52","23","35","23","37","0","12","32","52","56","71","32","50","0","12","79","59","32","38","11","17","0","12","0","12","0","12","0","12","20","31","13","30","0","12","0","12","12","18","804","260","99","80","49","48","100","79","40","24","0","12","25","40","0","12","25","42","98","71","74","72","77","52","32","38","61","57","59","54","11","17","9","14","0","12","0","12","0","12","20","30","0","12","0","12","25","36","1500000US150030089381","Block Group 1, Census Tract 89.38, Honolulu County, Hawaii"
"2303","943","1250","571","57","57","142","152","59","63","8","12","34","28","15","16","0","12","88","75","186","145","170","188","37","45","74","60","28","28","108","87","81","56","0","12","30","36","20","22","14","29","27","38","9","13","22","23","41","43","1053","417","149","94","58","56","28","25","0","12","27","31","11","17","25","40","82","72","55","44","96","74","29","34","26","28","71","60","82","54","92","81","0","12","39","38","23","31","41","37","39","35","14","18","41","44","25","40","1500000US150030089382","Block Group 2, Census Tract 89.38, Honolulu County, Hawaii"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US150030089391","Block Group 1, Census Tract 89.39, Honolulu County, Hawaii"
"946","291","489","168","82","65","31","49","20","21","0","12","24","36","0","12","10","16","61","61","56","55","25","38","16","18","33","29","8","12","29","35","23","36","8","13","27","34","0","12","8","12","16","19","12","14","0","12","0","12","457","159","14","22","0","12","8","13","9","14","0","12","0","12","0","12","32","37","56","50","56","50","68","58","0","12","8","12","45","34","57","52","16","17","0","12","6","11","8","12","66","79","8","14","0","12","0","12","1500000US150030089392","Block Group 2, Census Tract 89.39, Honolulu County, Hawaii"
"1423","350","726","212","43","34","23","20","84","65","57","50","0","12","19","22","8","14","0","12","43","38","45","58","110","72","106","80","20","23","32","30","59","33","8","13","21","19","9","13","8","13","7","12","24","38","0","12","0","12","697","192","76","84","75","60","39","32","0","12","12","18","43","56","8","13","25","24","30","27","58","53","77","56","30","49","32","39","74","53","60","42","0","12","7","13","8","12","8","12","8","12","0","12","27","27","0","12","1500000US150030089393","Block Group 3, Census Tract 89.39, Honolulu County, Hawaii"
